id,order_id,product_id,pack_id,product_name,product_image,quantity,size,color,price_at_purchase
912acbac-88ea-4edc-af22-80b058c7d813,c072eb38-a141-4753-bfab-68d02d1efbf9,ae637e07-2c9a-4a97-af69-49d67bbe91a8,,"CEINTURES DORÉES ",https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/g361a0vmyra.jpeg,1,Modèle 5,,1200.00
9258aeee-0c39-4867-a3df-cf8b66999173,6a7c2caa-ccbb-4ad6-9673-fd99cb93be9e,ae637e07-2c9a-4a97-af69-49d67bbe91a8,,"CEINTURES DORÉES ",https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/g361a0vmyra.jpeg,1,Modèle 7,,1200.00
9316b63d-7d0e-410a-93eb-887ff1a6246e,1ee65157-3471-4f57-ae92-e4e86fd8bd64,648a1268-d0c5-4fac-adfb-2c1d3ed63d88,,WERD,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/f8yqvowb0ik.jpeg,1,38,Blanc,19900.00
95501a0a-4e6b-4ce8-87d2-056e36f82bb7,4bc2f53c-f8c3-4245-a72a-e615bc0107df,648a1268-d0c5-4fac-adfb-2c1d3ed63d88,,WERD,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/f8yqvowb0ik.jpeg,1,44,Blanc,19900.00
977557b8-463f-45f0-9013-bab1d9c4373f,5e9e5980-7a4e-4ccd-8630-20ee44b3ad1b,,,WERD,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/80ld1954zlc.jpeg,1,42,#F0EBE0,19900.00
9b8a0dde-1df8-453b-92e0-5f32bf3da6dd,b1e86766-56f4-4343-9211-1b8eddd8165c,4d73c702-3405-4827-9966-ab564134c71b,,LOVE,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/f6x92lvlpcg.jpeg,1,38,Blanc,17900.00
a10c5d91-d4a9-4aa5-ad63-97437b524198,05bf2d70-88d2-4077-90c2-ee92a947922b,d6fbe0b1-40cc-4088-9e40-a14a38a15b29,,SULTANA,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/islc66ndxp.jpeg,1,38,Ivoire,19900.00
a1549df0-de99-4f71-914a-39f562809614,3dbf415c-8a9d-4aa3-ac75-10378cce1447,130f367f-3480-475b-ac7a-4c1dea1ce95c,,"EL’HUR ",https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/q26zmzxh0n.jpeg,1,42,Ivoire,19900.00
a231b0df-d506-4998-b5df-098ac0b99c4f,965e4d5e-3ea6-47e4-8243-6aa88b1f78b2,f269bfe5-55b6-48f1-bd58-e83869d14d81,,GHARAM,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/8pw9xgbofxx.jpeg,1,36,Beige,16900.00
b023c48e-ff67-480f-ba50-91e5c831f9f2,2ac741d3-e12b-45e5-b0ce-d47b45d7e746,,,WERD,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/80ld1954zlc.jpeg,1,42,#FFFFFF,19900.00
b028c5dc-6948-460d-9ff2-4613ae42a76f,8ec498a5-6515-4c9f-9ff9-7d66f1d2dd0c,ae637e07-2c9a-4a97-af69-49d67bbe91a8,,"CEINTURES DORÉES ",https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/g361a0vmyra.jpeg,1,Modèle 7,,950.00
bb633f2a-d207-45ed-925b-4610ce256f31,5f639344-49b1-477c-a7c9-ac1615d7156f,2700725c-5e98-43c0-b5b0-f148cc9ed33a,,HAREER,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/rh3y9wgkpo8.jpeg,1,40,Ivoire,16900.00
bc11ede2-f9d7-4d49-8f8f-7659d6a903d1,e2b3a69f-f8a4-4096-a492-85c2445f3cc6,53bb0e71-69f4-4a3d-acb1-cafd7c81f52c,,RYM,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/a3y5rcgtch.jpeg,1,36,Beige,13900.00
ca5ce32c-c260-427e-862a-7d2d7ffc19b2,bb73b104-c0bd-4a9f-86e8-bcaf063c58bd,648a1268-d0c5-4fac-adfb-2c1d3ed63d88,,WERD,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/f8yqvowb0ik.jpeg,1,40,Blanc,19900.00
ca98699d-ac2f-46a0-b546-c28ad2b15042,b1e86766-56f4-4343-9211-1b8eddd8165c,fe9f3569-a28e-4962-97d7-683e8728061a,,"CEINTURES ARGENTÉES ",https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/whavag99i78.jpeg,1,Modèle 3,,2800.00
ce8ed46e-b289-4cc4-8203-a6e34841698c,02a52328-c5be-4d43-b9c0-dee925b2dac8,648a1268-d0c5-4fac-adfb-2c1d3ed63d88,,WERD,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/f8yqvowb0ik.jpeg,1,38,Ivoire,19900.00
ce9bb67f-e99e-40c4-91df-5c8a6b0764a6,13a3d41f-2832-4f75-b9a7-f5e9e665bcfc,f269bfe5-55b6-48f1-bd58-e83869d14d81,,GHARAM,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/8pw9xgbofxx.jpeg,1,44,Ivoire,16900.00
d3cc4a34-5838-46dc-9ddc-4056320ca56a,81337851-4cc0-4557-b348-d999b396a5ba,f269bfe5-55b6-48f1-bd58-e83869d14d81,,GHARAM,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/8pw9xgbofxx.jpeg,1,38,Ivoire,16900.00
d572406a-3200-4085-bd83-ff6f960d47c9,03d2145b-b14d-42a5-be5f-84e90fd95e2d,811fe3e6-20cf-471f-a45d-4b3d142528f7,,LORA,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/742f35aqtfw.jpeg,1,,,2500.00
d5ef3574-1e3b-4d48-a483-e85379ff698a,09405676-31a1-4e89-9ea5-82f4178fa8e6,f269bfe5-55b6-48f1-bd58-e83869d14d81,,GHARAM,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/8pw9xgbofxx.jpeg,1,40,Blanc,16900.00
dd7990f1-6f05-4505-a287-5ed85381429a,3cbf3f8f-a061-494c-af0e-8da30a6657ff,e37e3fbd-a832-4c44-b2e1-eddd23f795b9,,DIAMANTINA,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/zuf1iujn2eg.jpeg,1,40,,19900.00
ddbd8ac1-933a-4a4b-85f0-1e35a728aaa9,b5fddb8b-b17d-4c75-a8ac-83a509b1126d,,383c17fe-78a0-4fba-973a-314de01f7c79,CAFTAN BRIDAL,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/packs/c9v8yersi2d.jpeg,1,,,23200.00
ddef84a1-ba0b-4914-ae59-774759c1ea5b,6ee35a6a-e355-4783-ac24-67117a8638bc,4d73c702-3405-4827-9966-ab564134c71b,,LOVE,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/f6x92lvlpcg.jpeg,1,38,Ivoire,17900.00
de4fd54c-c189-4389-9bb8-6335e71960bc,87b93cc0-9b97-49ff-bf2f-b3f85713030c,4d73c702-3405-4827-9966-ab564134c71b,,LOVE,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/f6x92lvlpcg.jpeg,1,38,Ivoire,17900.00
e1b02c83-c267-4ca7-8d5c-60dae2232f5e,c3467903-fadc-49fb-ac4b-1fedb0c7a51c,ae637e07-2c9a-4a97-af69-49d67bbe91a8,,"CEINTURES DORÉES ",https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/g361a0vmyra.jpeg,1,Modèle 4,,950.00
e2457d8b-a7ec-4329-ab7f-37296bac9776,e9fef9f9-c925-40a6-87b1-00cc9d9458f3,fbe0e28d-9f94-4c57-82bb-452d3bbb274d,,FIROUS,https://nsjyyivbpyexqvywymaz.supabase.co/storage/v1/object/public/caftan-images/products/e7yrfgkvyug.jpeg,1,,,2500.00
